"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","828","shouldShowErrorWithInvalidPassword(UserCredentials, String) [2] UserCredentials[username=standard_user, password=secret_but_wrong], Epic sadface: Username and password do not match any user in this service","","Fri Aug 22 11:58:49 UTC 2025","passed","Fri Aug 22 11:58:49 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that after opening the sidebar and clicking on the 'All items' link, the user is redirected to Products Page, and the Sidebar is no longer visible.","1621","shouldRedirectToAllItemsPage()","","Fri Aug 22 11:58:29 UTC 2025","passed","Fri Aug 22 11:58:30 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldRedirectToAllItemsPage"
"Validates that after opening the sidebar and clicking on the 'About' link, the user is redirected to Sauce Labs landing page.","2891","shouldRedirectToAboutPage()","","Fri Aug 22 11:58:36 UTC 2025","passed","Fri Aug 22 11:58:38 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldRedirectToAboutPage"
"Validates that the checkout can only proceed once the user fills in the checkout form with the correct data.","1387","shouldFailToCheckoutWithoutValidUserData()","","Fri Aug 22 11:58:44 UTC 2025","passed","Fri Aug 22 11:58:45 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldFailToCheckoutWithoutValidUserData"
"Validates that the user is unable to log in with incorrect password, and is being shown an error with the expected description.","823","shouldShowErrorWithInvalidPassword(UserCredentials, String) [3] UserCredentials[username=locked_out_user, password=secret_sauce], Epic sadface: Sorry, this user has been locked out.","","Fri Aug 22 11:58:49 UTC 2025","passed","Fri Aug 22 11:58:50 UTC 2025","","org.saucedemo.tests.authentication.AuthenticationTest","org.saucedemo.tests.authentication.AuthenticationTest","shouldShowErrorWithInvalidPassword"
"Validates that the user can add an item to the cart, and the item across the whole checkout flow stays consistent with the one added by the user. The checkout can be completed and the user can be redirected to Products Page by clicking 'Back Home' button. The cart has 0 items inside.","2688","shouldPlaceOrderSuccessfully()","","Fri Aug 22 11:58:40 UTC 2025","passed","Fri Aug 22 11:58:42 UTC 2025","","org.saucedemo.tests.checkout.CheckoutTest","org.saucedemo.tests.checkout.CheckoutTest","shouldPlaceOrderSuccessfully"
"Validates that unauthenticated user cannot access protected resources.","694","shouldNotAllowAccessForUnauthenticatedUser()","","Fri Aug 22 11:58:53 UTC 2025","passed","Fri Aug 22 11:58:54 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldNotAllowAccessForUnauthenticatedUser"
"Validates that the user is logged out after clicking on logout button, the user is successfully logged out, and does not retain access to protected resources anymore.","1649","shouldLogoutSuccessfullyAndLoseAccess()","","Fri Aug 22 11:58:54 UTC 2025","passed","Fri Aug 22 11:58:55 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldLogoutSuccessfullyAndLoseAccess"
"Validates that the state of cart icon on Products Page changes accordingly when adding items to the cart. After entering the cart, removing the items, and going back to Products Page, the cart icon should be showing that the cart is empty.","10487","shouldAddProductsOnProductsPageAndRemoveThemInCart()","","Fri Aug 22 11:58:16 UTC 2025","passed","Fri Aug 22 11:58:27 UTC 2025","","org.saucedemo.tests.products.ProductsPageTest","org.saucedemo.tests.products.ProductsPageTest","shouldAddProductsOnProductsPageAndRemoveThemInCart"
"Validates that clicking on 'Reset App State' does not result in application crash.","1485","shouldNotFailResetAppStateWhenCartIsEmpty()","","Fri Aug 22 11:58:34 UTC 2025","passed","Fri Aug 22 11:58:36 UTC 2025","","org.saucedemo.tests.sidebar.SidebarTest","org.saucedemo.tests.sidebar.SidebarTest","shouldNotFailResetAppStateWhenCartIsEmpty"
"Validates that logged in user is logged out when their session expires, and is redirected to login page where they're being shown an expected error message.","1015","shouldRedirectToLoginPageWhenSessionExpires()","","Fri Aug 22 11:58:52 UTC 2025","passed","Fri Aug 22 11:58:53 UTC 2025","","org.saucedemo.tests.authentication.SessionTest","org.saucedemo.tests.authentication.SessionTest","shouldRedirectToLoginPageWhenSessionExpires"
"Validates that the user is unable to log in with incorrect password, they are being shown an error with the expected description, and both the username and password field retain the same data entered by user before they clicked login button.","853","shouldKeepFieldsStateAfterUnsuccessfulLogin()","","Fri Aug 22 11:58:51 UTC 2025","passed","Fri Aug 22 11:58:52 UTC 2025","","org.saucedemo.tests.authentication.LoginPageUITest","org.saucedemo.tests.authentication.LoginPageUITest","shouldKeepFieldsStateAfterUnsuccessfulLogin"
